2016/3/25 19:31:56 End
2016/3/25 19:32:22 Start
2016/7/23 8:50:27 Init Timer
2016/7/23 8:50:27 End Init
2016/7/23 12:00:30 synchronous start
2016/7/23 12:00:31 update hr_postion_level
2016/7/23 12:00:31 total: 1
2016/7/23 12:00:32 update hr_employee
2016/7/23 12:00:32 total: 2
2016/7/23 12:00:32 synchronous end
2016/7/23 16:00:34 synchronous start
2016/7/23 16:00:34 update hr_postion_level
2016/7/23 16:00:34 total: 1
2016/7/23 16:00:35 update hr_employee
2016/7/23 16:00:35 total: 1
2016/7/23 16:00:35 synchronous end
2016/7/23 17:00:34 synchronous start
2016/7/23 17:00:35 update hr_postion_level
2016/7/23 17:00:35 total: 1
2016/7/23 17:00:36 update hr_employee
2016/7/23 17:00:36 total: 1
2016/7/23 17:00:36 synchronous end
2016/7/23 18:00:35 synchronous start
2016/7/23 18:00:35 update hr_postion_level
2016/7/23 18:00:35 total: 1
2016/7/23 18:00:37 update hr_employee
2016/7/23 18:00:37 total: 1
2016/7/23 18:00:37 synchronous end
2016/7/25 8:53:07 Start
2016/7/25 8:53:08 Init Data
2016/7/25 8:53:08 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/25 8:53:14 synchronous start
2016/7/25 8:54:46 update hr_postion_level
2016/7/25 8:54:46 total: 1
2016/7/25 8:54:50 update hr_employee
2016/7/25 8:54:50 total: 1
2016/7/25 8:54:51 synchronous end
2016/7/25 8:54:51 Init Timer
2016/7/25 8:54:51 End Init
2016/7/25 12:00:51 synchronous start
2016/7/25 12:00:53 update hr_postion_level
2016/7/25 12:00:53 total: 1
2016/7/25 12:00:54 update hr_employee
2016/7/25 12:00:54 total: 1
2016/7/25 12:00:55 synchronous end
2016/7/25 16:00:55 synchronous start
2016/7/25 16:00:56 update hr_postion_level
2016/7/25 16:00:56 total: 1
2016/7/25 16:00:58 update hr_employee
2016/7/25 16:00:58 total: 1
2016/7/25 16:00:58 synchronous end
2016/7/25 17:00:56 synchronous start
2016/7/25 17:00:56 update hr_postion_level
2016/7/25 17:00:56 total: 1
2016/7/25 17:00:57 update hr_employee
2016/7/25 17:00:57 total: 1
2016/7/25 17:00:58 synchronous end
2016/7/25 18:00:57 synchronous start
2016/7/25 18:00:57 update hr_postion_level
2016/7/25 18:00:57 total: 1
2016/7/25 18:00:58 update hr_employee
2016/7/25 18:00:58 total: 1
2016/7/25 18:00:58 synchronous end
2016/7/26 8:54:22 Start
2016/7/26 8:54:23 Init Data
2016/7/26 8:54:24 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/26 8:54:42 synchronous start
2016/7/26 8:56:17 update hr_postion_level
2016/7/26 8:56:17 total: 1
2016/7/26 8:56:19 update hr_employee
2016/7/26 8:56:19 total: 1
2016/7/26 8:56:19 synchronous end
2016/7/26 8:56:19 Init Timer
2016/7/26 8:56:19 End Init
2016/7/26 12:00:22 synchronous start
2016/7/26 12:00:23 update hr_postion_level
2016/7/26 12:00:23 total: 1
2016/7/26 12:00:24 update hr_employee
2016/7/26 12:00:24 total: 1
2016/7/26 12:00:25 synchronous end
2016/7/26 14:09:32 End
